100 250
224 249 -1
234 67 -1
50 162 -1
35 106 -1
191 217 -1
126 60 -1
120 242 -1
206 241 -1
150 154 -1
142 213 -1
32 170 -1
168 47 -1
179 228 -1
91 159 -1
9 198 -1
61 85 -1
197 45 -1
152 247 -1
59 187 -1
205 1 -1
7 82 -1
163 127 -1
74 119 -1
118 77 -1
23 113 -1
40 157 -1
33 61 -1
204 64 -1
39 148 -1
75 48 -1
96 136 -1
236 44 -1
34 138 -1
143 93 -1
178 99 -1
196 185 -1
181 109 -1
62 107 -1
80 33 -1
184 206 -1
248 225 -1
113 31 -1
138 170 -1
197 177 -1
68 22 -1
77 16 -1
11 63 -1
162 45 -1
202 158 -1
138 232 -1
7 85 -1
167 40 -1
194 81 -1
147 127 -1
216 184 -1
83 214 -1
11 196 -1
97 149 -1
218 44 -1
178 138 -1
169 5 -1
155 180 -1
69 169 -1
225 123 -1
77 215 -1
105 186 -1
50 124 -1
226 97 -1
57 226 -1
76 126 -1
160 159 -1
90 23 -1
105 40 -1
172 176 -1
186 202 -1
64 105 -1
207 219 -1
137 26 -1
241 214 -1
149 170 -1
180 106 -1
107 82 -1
82 83 -1
31 140 -1
161 107 -1
16 71 -1
16 208 -1
196 224 -1
248 220 -1
150 185 -1
172 214 -1
142 130 -1
36 132 -1
156 129 -1
96 158 -1
49 128 -1
116 156 -1
63 199 -1
92 196 -1
89 3 -1
